,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
id,6914157190987271430,6909838234151423234,6958430060340694278,6980527845726604549,6840796191161175302,6998487128254483718,6933762096479866118,7015946767283850502,7019396141955517701,6905682583682551042,6995583470185483525,6871013592720788742,6840818955209182470,6867909441103088902,6890221660805287173,7010993830774295810,7029626294124039426,6954131473645440262,6812265312122146054,6993395942699355397,6994298773451197701,7019633115710655746,6985505326913031429,6920302329358978310,7030806068859112709,6823157143621979398,7028950491283361029,6973527309139627265,7025925379982413062,6914696523397762309
desc,"Oh Julius 😅 ""Julius the Python"" on YouTube #juliusthesnake #python #snakes #petsnakes #reptiles #bigsnakes #exoticpet #burmesepython #funnyanimals",stain.. Petit python banana..😍#fyp  #ballpython #serpent #python #snake #reptile #pourtoi #foryou #dance #drums,Happy birthday little buddy 🐍 #snake #python #birthday,lil too busy worried about snacks.. #Python #dog #snakesoftiktok #NatureTikTok,Check out this baby python! Did you kno their eggs are leathery? #animalsoftiktok #python #snake #egg,computer automatically alt-tabs when door is opened. #lifehack #gaming #code #arduino #python,THEY SCARED😂@jmontt @zwifty2k #viral #foryoupage #fyp #fypシ #funny #snake #prank #python #dangerous #nocapz #prankgonewrong,You never know what’ll be in the egg 😯 #snake #python #egg,She a lil… dramatic #snakes #snake #ballpython #python #cute #reptile #silly #lol #bp #snakesoftiktok #IKnowWhatYouDid,#snake#satisfying#satisfyingvideo#snakeshedding#cute#cool#fyp#python,"NO SNEKS WERE HARMED, it’s just a joke ❤️🐍🔥 #ballpython #snake #reptile #bananaballpython #python #boa #hognose #westernhognose #burnt #animals #pet",DREAMS CAME TRUE LAST NIGHT!!!!! 8+ foot Burmese Python found with @noah_humphlett04 in the Everglades!! 🤩 #snake #fyp #python #herping #florida,"Meet Grillled Cheese, our albino dwarf Burmese Python! 🧀 #FYP #Foryou #snake #animals #conservation #nature #python",This 16 foot wild Burmese python escaped into my truck 😂 #foryou#danger#fyp#lol#gotemm#florida#wildlife#python#snake#reptile ￼,THROWBACK TO MY FAVORITE CATCH OF THE YEAR!!! 🙌🏻 gonna try and find another one this week!! 🐍 #herping #fyp #snake #python #burmesepython #florida,Playing guitar for this wild danger noodle 🐍  #snake #australia #fyp #foryou #nature #animals #python #guitar #guitartok,Reply to @cookies_critters  this  female albino darwin carpet python laid her eggs while I was away. #cookiescritters #reptile #reptiles #snake #snakes #python #carpetpython #morelia #moreliaspilota #moreliaspilotavariegata #albino #albinosnake @Stacie Obrist @Samantha Crawley @Cha,i had someone babysit juno and she gave her away! help me tiktok! 🤍 #ballpython #python #snake #snakes #babysnake #help #fypシ #viral #animals,Snuggles  the Snake. #snugglesthesnake #snake #snakelove #python #reptile #thorsreptilefamily #coronaca,Cleaning the BIG SNAKES! 🐍 #TeamofTomorrow #burmesepython #burmesepythons #snake #snakesoftiktok #bigsnake #strangepets #python #pythons #reptile #fy,#minecraft #python #programming,RED TEAM LETS WIN THIS!!!! 😤 #fypシ #mcyt #streamer #arab #minecraft #coding #python,💪🏽 #coding #gaming #flappybird #ursinaengine #python,🐍🐍 Nasza największa pycia 😈 #molt #gadolandreda #gadoland #reda #noise #snake #omg #foryou #reptile #listen #python,Mama python wasn’t happy 😬 she has no idea we are on the same team 🤷‍♂️ taking her eggs give them the best chance at survival🐣 #snake #eggs #python,PASS THE REPTILE!!! 🐍🦎🕷🦂🐊🐢🐸#margothebeardie #reptile #python #may4th,This Burmese python is HUGE 😱 it’s trying to set a 🌍 record 🙌   #snake #python #reptile,Man tapes helpless Python to pole - Part Two 😞 #Snake #trapped #snakecatcher #wildlife #animals #helpless #reptile #australia #rescue #python,Cómo cagarla con orgullo siendo programador #talentotiktok #programacion #python #java #aprendecontiktok #aprendeentiktok #techtok #ingenieria #tecnologia,"pool party at my place, who's in? #snakes #fyp #tiktoker #python  #florida"
createTime,1609827712,1608822085,1620135755,1625280797,1592746983,1629462265,1614392308,1633527403,1634330523,1607854522,1628786203,1599782529,1592752283,1599059793,1604254781,1632374208,1636712416,1619134911,1586104120,1628276879,1628487089,1634385697,1626439706,1611258459,1636987104,1588640072,1636555068,1623650855,1635850730,1609953258
video_id,6914157190987271430,6909838234151423234,6958430060340694278,6980527845726604549,6840796191161175302,6998487128254483718,6933762096479866118,7015946767283850502,7019396141955517701,6905682583682551042,6995583470185483525,6871013592720788742,6840818955209182470,6867909441103088902,6890221660805287173,7010993830774295810,7029626294124039426,6954131473645440262,6812265312122146054,6993395942699355397,6994298773451197701,7019633115710655746,6985505326913031429,6920302329358978310,7030806068859112709,6823157143621979398,7028950491283361029,6973527309139627265,7025925379982413062,6914696523397762309
video_height,480,960,1024,1024,1024,576,1024,1024,1016,960,1024,1024,1024,1082,1024,1012,1024,1024,1024,1024,1024,960,1024,960,1024,1024,1024,1024,1024,1016
video_width,640,540,576,576,576,576,576,576,540,540,576,576,576,576,576,576,576,576,576,576,576,540,576,540,576,576,576,576,576,576
video_duration,9,15,20,7,18,11,56,45,7,13,6,20,14,22,15,14,78,15,15,61,45,26,36,12,51,55,13,100,59,10
video_ratio,480p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p
video_cover,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/f8b44ab15bd64f4ba820bc477f485a10_1609827713?x-expires=1639292400&x-signature=BtVuDSMDKajWBD%2BzCafVYPCL9Ac%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/a466eb2e38684e8dbc8819b623f04310?x-expires=1639292400&x-signature=N6qMeHP58ZQhIRrfVgB5vqh%2FyZY%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/4f9d0765d2694c2ea0c993c602630912_1620135757?x-expires=1639292400&x-signature=h3iO3kR5XWUjHx1xo373RTLw8f4%3D,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/70880fd346df40fb9b19dda921c29375~tplv-dmt-logom:tos-maliva-p-0000/d3e787e3f5e34ff9a8d77cf2e09ecfb0.image?x-expires=1639292400&x-signature=9ByRZBzSIKnz2izSPMT2EraMyPA%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0b47a6dc69294b238fc8500cbc8bef65?x-expires=1639292400&x-signature=VGwn5WlNIgHLjBfGQpMPv72bHxI%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/d7bee0414c2645889616bd9cfdf3b926?x-expires=1639292400&x-signature=fu%2BooiAAflYzjo77Ol5gxjc0z4E%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/9409313714284192bed868f246d5fdf8?x-expires=1639292400&x-signature=pEzYOBrfBt3LvUm8qxqxlS%2FwHXQ%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ab5bfd74f7da47e196cbf8b1f592100f_1633527426?x-expires=1639292400&x-signature=eGAjH5lv4bGPloCQ1hUj8eivXA4%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/f44a83703d7146428e46bb088d244f44_1634330524?x-expires=1639292400&x-signature=14u5ubaa8PR7noymQ0iCPoCcPFI%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/23aea87c34f446378aee00d6f2bfc4a3?x-expires=1639292400&x-signature=oFCyeEEbE8OHIREg9wGmY039Sy8%3D,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/bb9782ee73494fbc905b70cd3cebdbf9_1628786205~tplv-dmt-logom:tos-maliva-p-0000/651b675998e743ea8ddd8617cb108ebe.image?x-expires=1639292400&x-signature=mkesS8Pibc9BDMoyEBXGDJywMWA%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/1f77944c86ee421e8dc1abd0a6f08ef4_1599782530?x-expires=1639292400&x-signature=MZkiHVLdM7BA8FsEYIOwWW7srFU%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/57e358dff6014683a232229061a8355c?x-expires=1639292400&x-signature=lglJF2tXEvHvFr1hHiUtJgBBmSc%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/50325439806349ca8d8d2d6a43480896_1599059796?x-expires=1639292400&x-signature=H1wPi5vytHcqsl3sMvnTrchtn7o%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/b11487097b424d449f43d6e09e512e2f_1604254782?x-expires=1639292400&x-signature=dPGCRZTL01gIDuJDEd1hwdf0UGY%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/bff553b09a2e4499a0832ed568c29904_1632374209?x-expires=1639292400&x-signature=CcQYRfenBAW6e6b%2FlrHu4LH2Y1o%3D,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/2da9d8b059fc4d38ae746a2aa9fe4420_1636712421~tplv-dmt-logom:tos-alisg-i-0000/d26d96ce5fff4f39add430bb7a27e755.image?x-expires=1639292400&x-signature=7AHHwl3bVd%2B8p%2FjW6O2S8YhCDm0%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/238150b30201479dad0a44f4d5c00c3a_1619134928?x-expires=1639292400&x-signature=NmvhO7KSAQccgYJiEypahSlbjZE%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/b246baca8aee4e21b481230289193154_1586105437?x-expires=1639292400&x-signature=s0Hot23nvaBRypPmoWWqD04BPvQ%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/8d0abce976d748c48008f6b74881a1dc_1628276891?x-expires=1639292400&x-signature=T5Z3eUTHPCvZMPsuuoCyvhQYcxM%3D,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/9706b247033c4b31b4e049c0d6855ef9_1628487092~tplv-dmt-logom:tos-maliva-p-0000/a0283ece7be54220a83bf189d85929bf.image?x-expires=1639292400&x-signature=Psjq9B36A8dgwtByFr9eKYUgbQU%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/0986548fea704b3ba9bb63439b6b0b75?x-expires=1639292400&x-signature=Ng2zCE8N%2B22s352pebkc4vMUzDw%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/5e5b2c6ec8c848878c9977698191c81c?x-expires=1639292400&x-signature=MBPuu%2B39%2BGxi%2BmJHfEx5DD%2FLBvE%3D,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/90d4dda33d64429fb8e09c40e39d8b31_1611258462~tplv-dmt-logom:tos-maliva-p-0000/ada0d60c22184f35b3bb7092441a96fc.image?x-expires=1639292400&x-signature=rl%2F4ASrTb8beQze65gdgPiutQQ0%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/f21d7658022749bca50a758a70ae11af_1636987107?x-expires=1639292400&x-signature=ZL711T8hpKgDTNqX%2BI36uYv9H0g%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/a4ec965371274d8abd6b235bcc0e15dc?x-expires=1639292400&x-signature=847SgaIiWKVRADUmHhQudsoJuxY%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/144cb0fbada44d69a92d1beb817ec503_1636555070?x-expires=1639292400&x-signature=uAKIi6SM1dzSETObpanAtUgJkXQ%3D,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/8ff2562e14e145e8bb3a536a6788768f_1623650874~tplv-dmt-logom:tos-alisg-i-0000/2be593d36db544bb94c5853d2f7e6576.image?x-expires=1639292400&x-signature=tetBx7WDOyTQIst01DNUAsVvJeI%3D,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/a8b1329f4cd7486c9715f59903c4f22d_1635850735~tplv-dmt-logom:tos-maliva-p-0000/47a1d427b7a845168a5fc79f33726882.image?x-expires=1639292400&x-signature=%2BZqbkVSozrM6SkZ%2FYAxMq5%2F%2B6Zo%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/6029e49ca7b14642a57d80fa926cdaa8?x-expires=1639292400&x-signature=trZDaVbjleOJHMnZA1kBUNUg2Lg%3D
video_originCover,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/41cd16b79320490bbd12e6f5f3d9b06a_1609827713?x-expires=1639292400&x-signature=VMkqYeOIoTmk78Xm1nmi%2BmFCKAU%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/4006d0b95ee640f697417f67441e905e_1608822090?x-expires=1639292400&x-signature=33NqqrodUeK4k4A%2FlzvfYPXRPcs%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/32bf5c5e89fe40dea457cf16fd909de7_1620135756?x-expires=1639292400&x-signature=%2BffRcHjG2WEXu3kfcv5j7XxIiEc%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/3fa616b9d6ef40abad723b77a263df17_1625280798?x-expires=1639292400&x-signature=vS7GnFZj0QdgnHyvzqjo6izgx6I%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/393acd9ea3784c9a99c1b086a804325a_1592746986?x-expires=1639292400&x-signature=atdZHQeqUJ3u5tf3LW5yCFFep3k%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/224f14120bc24d17b8794d7d9e0a2c55_1629462266?x-expires=1639292400&x-signature=8FYV9q5w23%2B6FyeMRBOHwa9We2k%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/3184d0b9d3b64516a7cd8471d2bc7e2d_1614392311?x-expires=1639292400&x-signature=XlCnR4KEk0zlQkQfloprR6ULx1A%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/76a5277101f74bfb98d976d8b1f69c79_1633527405?x-expires=1639292400&x-signature=kv%2FWLmYYDVpGTZHL5njfKG0TeIg%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/83c7a66a1ecc4fb08b88add83b154517_1634330523?x-expires=1639292400&x-signature=5%2B4y22ohS8WEsCaUJCxcslHSUSs%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/51d2280e24504bf09276658477d81a58_1607854525?x-expires=1639292400&x-signature=ZOwHyL9kJm7GMLyJaeuX0zSY8J8%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/70aeb592b867462b892b684faf897091_1628786205?x-expires=1639292400&x-signature=9rBBSihSmjz9YB7tk8kABoP8wvg%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/9894b52d788145eb89563aedd8acba82_1599782530?x-expires=1639292400&x-signature=PZ6L%2BvT8UDgaD0AsfFqkzJOBCgk%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/970890b2c0cc4b9e9f7ff4c0e8563aec_1592752284?x-expires=1639292400&x-signature=bcbVswIUU%2B09Kt3xS5I3dkzQmuY%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/3619f2e5c03e4fac9289041451024c46_1599059794?x-expires=1639292400&x-signature=RjFta5HjnfmBLKt77ZEJ0kM7h74%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0e08a281984541219dc57c4cbe7b7e77_1604254782?x-expires=1639292400&x-signature=LxsI4ypXNuDWTF4D5RszggYND5k%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/4d816d8d40ac4ef4bcb54b4420c245e6_1632374209?x-expires=1639292400&x-signature=OJul%2F%2FMs9oDZUEqipm%2FtZkPRAnk%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/a5ba2d10d7f346fea0105b4caa53b008_1636712417?x-expires=1639292400&x-signature=3w%2BnQNSAoxSJ2zd1kJILxea5SLw%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/bb22672b32644ecab75549043497da95_1619134916?x-expires=1639292400&x-signature=VbIQRahqCnHR6pfSaXXpnuVPIns%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/b4668d4f652a41e9a3e9a215792dc640_1586105437?x-expires=1639292400&x-signature=Bg%2BSRoYC0jq18pOSyE34XbscQJ8%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/73e9441e24084f74bd3e09b8b3d564c9_1628276881?x-expires=1639292400&x-signature=0R8KpBzOh67018ZNR%2B%2Fbzv%2BbeLA%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/53a490b54680442c8dae8497ed4506b1_1628487090?x-expires=1639292400&x-signature=akiU4n6%2F7YxoEaKXt%2FZ8K3l%2BNFk%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/cb2bc29a6c9f4ff3859cbffe9bf35946_1634385698?x-expires=1639292400&x-signature=KMnsIu%2BBCwrTcEVwT%2FJ0ct1P5vw%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/2a5bcfe9eaf047e782b2ffe7353e5653_1626439707?x-expires=1639292400&x-signature=5iVADUCZq3io3vSvQloov6uGFKQ%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/f47cc650e14144ac86559f5320f5a8cc_1611258461?x-expires=1639292400&x-signature=jA1sdT3o8kTExsoDFQ3fwROFO9o%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/eb1c092cff22449a8223826b4c9fe3b9_1636987104?x-expires=1639292400&x-signature=fmjzMFWw%2FgNt6sRwrzDXq13FaM8%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/f8f040b2d3db4b8aa750fe9de3cc192c_1588640075?x-expires=1639292400&x-signature=zOSHYJhKgGuHGHrD6cgUE3%2F8KQ8%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/db092a837d1e46f6816955b2215f5441_1636555069?x-expires=1639292400&x-signature=EcqnXLCsYBP0pYsfJ9ld2Qh0BR4%3D,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/25564ef4c5bf4b7096855304b1b8680e_1623650859?x-expires=1639292400&x-signature=mwYUP81kkPiA9LJlcu%2FfIuryGVE%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/de4c52843b49469db2602fb7ec4b3dc2_1635850732?x-expires=1639292400&x-signature=DoRsXOD%2BVp7leP%2Bj3a4Lg%2FUep5o%3D,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/4186437b16074697b51418345b753ead_1609953259?x-expires=1639292400&x-signature=6xQxaKQMIW%2BUVJAxCZu04i4QhRI%3D
